",Panic disorder,[Anxiety and nervousness,Depression,Shortness of breath,Depressive or psychotic symptoms,Sharp chest pain,Dizziness,Insomnia,Abnormal involuntary movements,Chest tightness,Palpitations,Irregular heartbeat,Breathing fast,],Panic disorder "
",Vocal cord polyp,[Hoarse voice,Sore throat,Difficulty speaking,Cough,Nasal congestion,Throat swelling,Diminished hearing,Lump in throat,Throat feels tight,Difficulty in swallowing,Skin swelling,Retention of urine,],Vocal cord polyp "
",Turner syndrome,[Groin mass,Leg pain,Hip pain,Suprapubic pain,Blood in stool,Lack of growth,Diminished hearing,Depression,Emotional symptoms,Elbow weakness,Back weakness,Pus in sputum,],Turner syndrome "
",Cryptorchidism,[Symptoms of the scrotum and testes,Swelling of scrotum,Pain in testicles,Flatulence,Pus draining from ear,Jaundice,Mass in scrotum,Lack of growth,White discharge from eye,Irritable infant,],Cryptorchidism "
",Poisoning due to ethylene glycol,[Abusing alcohol,Fainting,Hostile behavior,Drug abuse,Depressive or psychotic symptoms,Sharp abdominal pain,Feeling ill,Vomiting,Headache,Depression,Nausea,Diarrhea,],Poisoning due to ethylene glycol "
",Atrophic vaginitis,[Vaginal itching,Vaginal dryness,Painful urination,Involuntary urination,Pain during intercourse,Frequent urination,Lower abdominal pain,Suprapubic pain,Vaginal discharge,Blood in urine,Hot flashes,Intermenstrual bleeding,],Atrophic vaginitis "
",Fracture of the hand,[Hand or finger pain,Wrist pain,Hand or finger swelling,Arm pain,Wrist swelling,Arm stiffness or tightness,Arm swelling,Hand or finger stiffness or tightness,Wrist stiffness or tightness,],Fracture of the hand "
",Cellulitis or abscess of mouth,[Lip swelling,Sore throat,Toothache,Abnormal appearing skin,Skin lesion,Difficulty in swallowing,Acne or pimples,Dry lips,Facial pain,Mouth ulcer,Throat swelling,Skin growth,],Cellulitis or abscess of mouth "
",Eye alignment disorder,[Eye deviation,Diminished vision,Double vision,Cross-eyed,Symptoms of eye,Pain in eye,Eye moves abnormally,Abnormal movement of eyelid,Foreign body sensation in eye,Lack of growth,Irregular appearing scalp,Swollen lymph nodes,],Eye alignment disorder "
",Headache after lumbar puncture,[Headache,Nausea,Back pain,Vomiting,Dizziness,Neck pain,Low back pain,Pain of the anus,Pain during pregnancy,Painful urination,Pelvic pain,Impotence,],Headache after lumbar puncture "
",Pyloric stenosis,[Vomiting,Sharp abdominal pain,Infant spitting up,Vomiting blood,Cough,Arm stiffness or tightness,Regurgitation,Burning abdominal pain,Restlessness,Pain during pregnancy,Symptoms of infants,Wheezing,],Pyloric stenosis "
",Salivary gland disorder,[Sore throat,Peripheral edema,Neck mass,Ear pain,Swollen lymph nodes,Throat feels tightIllness,Symptoms
"",Facial pain,Skin swelling,Jaw swelling,Cough,Mouth dryness,Neck swelling,],Salivary gland disorder "
",Osteochondrosis,[Knee pain,Foot or toe pain,Bowlegged or knock-kneed,Ankle pain,Bones are painful,Knee weakness,Hand or finger pain,Elbow pain,Knee swelling,Skin moles,Knee lump or mass,Weight gain,],Osteochondrosis "
",Injury to the knee,[Knee pain,Knee swelling,Leg pain,Problems with movement,Knee stiffness or tightness,Leg swelling,Knee weakness,Foot or toe swelling,Heartburn,Smoking problems,],Injury to the knee "
",Metabolic disorder,[Weight gain,Jaundice,Mouth dryness,Muscle pain,Smoking problems,Infant feeding problem,Recent weight loss,Problems with shape or size of breast,Arm stiffness or tightness,Underweight,Difficulty eating,Scanty menstrual flow,],Metabolic disorder "
",Vaginitis,[Vaginal discharge,Vaginal itching,Sharp abdominal pain,Painful urination,Vaginal pain,Lower abdominal pain,Pelvic pain,Vaginal redness,Suprapubic pain,Pain during pregnancy,Vulvar irritation,Pain during intercourse,],Vaginitis "
",Sick sinus syndrome,[Dizziness,Sharp chest pain,Shortness of breath,Palpitations,Fainting,Weakness,Irregular heartbeat,Decreased heart rate,Increased heart rate,Bleeding or discharge from nipple,],Sick sinus syndrome "
",Tinnitus of unknown cause,[Ringing in ear,Diminished hearing,Dizziness,Ear pain,Headache,Plugged feeling in ear,Itchy ear(s),Frontal headache,Symptoms of eye,Hoarse voice,Fluid in ear,Neck stiffness or tightness,],Tinnitus of unknown cause "
",Glaucoma,[Diminished vision,Pain in eye,Symptoms of eye,Spots or clouds in vision,Eye redness,Lacrimation,Itchiness of eye,Blindness,Eye burns or stings,Foreign body sensation in eye,Itchy eyelid,Feeling cold,],Glaucoma "
",Eating disorder,[Depression,Anxiety and nervousness,Depressive or psychotic symptoms,Decreased appetite,Abusing alcohol,Excessive appetite,Difficulty eating,Weight gain,Excessive anger,Insomnia,Vomiting blood,Acne or pimples,],Eating disorder "
",Transient ischemic attack,[Loss of sensation,Dizziness,Headache,Weakness,Focal weakness,Slurring words,Difficulty speaking,Symptoms of the face,Depressive or psychotic symptoms,Diminished vision,Disturbance of memory,Paresthesia,],Transient ischemic attack "
",Pyelonephritis,[Side pain,Fever,Sharp abdominal pain,Back pain,Vomiting,Nausea,Painful urination,Low back pain,Lower abdominal pain,Blood in urine,Suprapubic pain,Frequent urination,],Pyelonephritis "
",Rotator cuff injury,[Shoulder pain,Arm pain,Shoulder stiffness or tightness,Shoulder weakness,Arm cramps or spasms,Arm stiffness or tightness,Neck stiffness or tightness,Hand or finger stiffness or tightness,Shoulder swelling,Tongue lesions,Leg cramps or spasms,Abnormal appearing tongue,],Rotator cuff injury "
",Chronic pain disorder,[Back pain,Low back pain,Ache all over,Leg pain,Neck pain,Headache,Sharp abdominal pain,Shoulder pain,Knee pain,Hip pain,Pelvic pain,Lower body pain,],Chronic pain disorder "
",Problem during pregnancy,[Sharp abdominal pain,Pain during pregnancy,Problems during pregnancy,Lower abdominal pain,Spotting or bleeding during pregnancy,Nausea,Headache,Back pain,Vomiting,Burning abdominal pain,Pelvic pain,Cramps and spasms,],Problem during pregnancy "
",Liver cancer,[Sharp abdominal pain,Upper abdominal pain,Stomach bloating,Changes in stool appearance,Decreased appetite,Unusual color or odor to urine,Increased heart rate,Kidney mass,Swollen abdomen,Symptoms of prostate,Leg stiffness or tightness,Groin mass,],Liver cancer "
",Atelectasis,[Cough,Shortness of breath,Sharp chest pain,Fever,Nasal congestion,Dizziness,Sore throat,Sharp abdominal pain,Difficulty breathing,Rib pain,Ache all over,Headache,],Atelectasis "
